"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CDH23",1.73840034121598e-153,0.589794566901446,0.45,0.12,2.63871787793174e-149,"4","CDH23",0.33
"GRINA",1.37752869112775e-151,0.645473459497212,0.756,0.352,2.09095080026281e-147,"4","GRINA",0.404
"MAP3K3",1.75587110916674e-151,0.650187484593695,0.599,0.206,2.6652367566042e-147,"4","MAP3K3",0.393
"THEMIS2",1.93229942254781e-150,0.68755702708951,0.793,0.379,2.93303729348532e-146,"4","THEMIS2",0.414
"NAGK",3.06879800888122e-150,0.649682882114429,0.88,0.588,4.6581284976808e-146,"4","NAGK",0.292
"NADK",4.49895022185105e-150,0.65369214446288,0.635,0.23,6.8289565417477e-146,"4","NADK",0.405
"SMARCD3",4.06726593381098e-149,0.571904730685788,0.274,0.042,6.17370296093168e-145,"4","SMARCD3",0.232
"JAML",4.88196803489645e-149,0.65373111403901,0.888,0.504,7.41033928016933e-145,"4","JAML",0.384
"LY86",1.27503338733108e-148,0.657735277743553,0.386,0.084,1.93537317862985e-144,"4","LY86",0.302
"GAPT",8.12574864352601e-147,0.569808362727382,0.361,0.076,1.23340738660081e-142,"4","GAPT",0.285
"FES",1.32711178891064e-146,0.610778120232461,0.451,0.117,2.01442298438746e-142,"4","FES",0.334
"MBD2",1.8306906911374e-146,0.624577813487234,0.565,0.185,2.77880540007747e-142,"4","MBD2",0.38
"IL17RA",2.10701751871795e-144,0.64359693075468,0.791,0.434,3.19824189166198e-140,"4","IL17RA",0.357
"SIRPB2",7.28767564102081e-144,0.536874212955907,0.293,0.052,1.10619628555055e-139,"4","SIRPB2",0.241
"NCF1",1.4795584748997e-142,0.74180508332999,0.695,0.327,2.24582180905025e-138,"4","NCF1",0.368
"SIGLEC9",1.60489880155845e-142,0.576602819942467,0.361,0.078,2.43607589088558e-138,"4","SIGLEC9",0.283
"PRKCD",1.79271024433006e-142,0.655088600820139,0.674,0.274,2.7211548798686e-138,"4","PRKCD",0.4
"GPX1",2.68958025053659e-142,0.581424454227337,0.899,0.586,4.08251386228949e-138,"4","GPX1",0.313
"DENND1A",5.60100031349581e-141,0.643187812034265,0.618,0.238,8.50175837585529e-137,"4","DENND1A",0.38
"LGALS9",8.72238954374467e-141,0.636036001365501,0.758,0.355,1.323971508845e-136,"4","LGALS9",0.403
"ARRB2",1.7841335357318e-140,0.586515186315739,0.867,0.559,2.7081362938873e-136,"4","ARRB2",0.308
"SLC15A3",2.11444848281043e-140,0.651389063221743,0.367,0.083,3.20952135205795e-136,"4","SLC15A3",0.284
"SCIMP",3.08758806865247e-140,0.67360135856184,0.683,0.333,4.68664992940758e-136,"4","SCIMP",0.35
"SNX10",4.29506578493052e-140,0.657903714517268,0.674,0.274,6.51948035494604e-136,"4","SNX10",0.4
"SLC24A4",4.2000094532508e-139,0.632186389284373,0.61,0.275,6.37519434908939e-135,"4","SLC24A4",0.335
"ASAH1",5.75300726374436e-139,0.551417589701839,0.923,0.653,8.73248972563756e-135,"4","ASAH1",0.27
"NAPSB",9.64006532024107e-139,0.669082048383612,0.401,0.098,1.46326551495939e-134,"4","NAPSB",0.303
"CPPED1",3.22632359117501e-137,0.671802556298858,0.733,0.403,4.89723657904455e-133,"4","CPPED1",0.33
"ITGAM1",4.79069575670163e-136,0.615565077961891,0.572,0.196,7.2717970890974e-132,"4","ITGAM",0.376
"RELT",1.58612225836694e-135,0.614764479696009,0.562,0.194,2.40757497597517e-131,"4","RELT",0.368
"NAIP",1.32378293211515e-133,0.701939598415877,0.706,0.352,2.00937011265758e-129,"4","NAIP",0.354
"ADGRE2",2.11598759396093e-133,0.663054943140003,0.788,0.5,3.21185756887329e-129,"4","ADGRE2",0.288
"TBXAS1",6.38908533301247e-133,0.65130014152545,0.642,0.266,9.69799262697963e-129,"4","TBXAS1",0.376
"RBP7",1.11483353123686e-132,0.670276116965787,0.287,0.055,1.69220581706443e-128,"4","RBP7",0.232
"GAA",2.30704833952689e-132,0.63503989955984,0.565,0.201,3.50186867456787e-128,"4","GAA",0.364
"MYO1F1",5.06273553656041e-132,0.506201274105516,0.941,0.702,7.68472627094505e-128,"4","MYO1F",0.239
"MYO15B1",1.40243265516066e-130,0.677078335527291,0.523,0.17,2.12875252726837e-126,"4","MYO15B",0.353
"CCR1",1.05358316509022e-129,0.566523443318825,0.457,0.133,1.59923388629044e-125,"4","CCR1",0.324
"PLEK1",1.03350445190476e-127,0.567807096643794,0.903,0.517,1.56875640754624e-123,"4","PLEK",0.386
"TNFSF10",3.31490181233165e-127,0.601716512625698,0.81,0.434,5.03168946093821e-123,"4","TNFSF10",0.376
"PLAUR",1.50915127613476e-126,0.630661707171751,0.758,0.389,2.29074072204496e-122,"4","PLAUR",0.369
"SLC2A6",6.08349535235307e-125,0.554789479216479,0.436,0.128,9.23413759533673e-121,"4","SLC2A6",0.308
"UNC93B1",1.02448028027142e-124,0.548570623650899,0.397,0.104,1.55505861742399e-120,"4","UNC93B1",0.293
"SAMHD1",2.24712993779696e-124,0.509186333934712,0.943,0.687,3.41091853258201e-120,"4","SAMHD1",0.256
"HLA-DRB6",3.0138239098638e-124,0.575875670158454,0.68,0.345,4.57468331278227e-120,"4","HLA-DRB6",0.335
"SH3BP2",3.06721212706198e-124,0.568132176016555,0.873,0.647,4.65572128766738e-120,"4","SH3BP2",0.226
"PRKACA",5.53610857396387e-124,0.518523418313283,0.475,0.153,8.40325920441976e-120,"4","PRKACA",0.322
"WARS",2.79052747216053e-123,0.568224253546713,0.847,0.51,4.23574164999247e-119,"4","WARS",0.337
"LTA4H",2.15524718514356e-121,0.61505553016991,0.755,0.394,3.27144970232941e-117,"4","LTA4H",0.361
"ODF3B",4.13714888586426e-121,0.648572821742308,0.607,0.251,6.27977829385337e-117,"4","ODF3B",0.356
"NPC2",5.59535249617314e-121,0.57504040183261,0.81,0.448,8.49318555394121e-117,"4","NPC2",0.362
"TTYH3",7.11867236845155e-121,0.504376321227688,0.502,0.165,1.08054327880726e-116,"4","TTYH3",0.337
"RNF144B",1.39641732777971e-120,0.555448486884007,0.469,0.153,2.11962186183683e-116,"4","RNF144B",0.316
"RIN3",4.26604518296661e-120,0.57045122045959,0.731,0.356,6.47542998322502e-116,"4","RIN3",0.375
"HSPA7",4.87623240898671e-120,0.582116147816701,0.386,0.103,7.40163317360093e-116,"4","HSPA7",0.283
"QKI",5.12297311722755e-120,0.551231772223218,0.655,0.274,7.7761608946397e-116,"4","QKI",0.381
"RASGRP4",1.28764769802261e-119,0.590872923265056,0.535,0.215,1.95452044082853e-115,"4","RASGRP4",0.32
"NOTCH2",1.77881582587745e-119,0.575484309066494,0.776,0.418,2.70006454209937e-115,"4","NOTCH2",0.358
"PAK1",3.39849039962075e-119,0.58415378270808,0.647,0.272,5.15856857758433e-115,"4","PAK1",0.375
"TCIRG1",2.01587411752919e-118,0.521514877489726,0.897,0.632,3.05989532299755e-114,"4","TCIRG1",0.265
"DENND5A",5.50930394236608e-118,0.631648756432497,0.591,0.248,8.36257245411747e-114,"4","DENND5A",0.343
"SULT1A1",9.31459793849542e-118,0.675180261859039,0.803,0.568,1.41386282108422e-113,"4","SULT1A1",0.235
"PLXNC1",3.46015654027943e-116,0.504708824086289,0.518,0.177,5.25217161249015e-112,"4","PLXNC1",0.341
"FKBP15",4.40430266888046e-116,0.577648301592847,0.635,0.269,6.68529102109366e-112,"4","FKBP15",0.366
"TMEM176B1",3.22832337503881e-115,0.616516731728092,0.501,0.171,4.90027205097141e-111,"4","TMEM176B",0.33
"SHTN1",4.21753697140779e-114,0.5437242508595,0.406,0.123,6.40179936889988e-110,"4","SHTN1",0.283
"FMNL1",5.89423351063352e-114,0.56743186223464,0.821,0.522,8.94685704579062e-110,"4","FMNL1",0.299
"SH2B3",8.10876824959321e-114,0.505722564028122,0.587,0.231,1.23082993260575e-109,"4","SH2B3",0.356
"H2AFY",2.40118788163153e-113,0.536963438206471,0.834,0.494,3.6447630855285e-109,"4","H2AFY",0.34
"FGD4",4.11711884668628e-113,0.568234377101113,0.601,0.261,6.24937469738511e-109,"4","FGD4",0.34
"DPEP2",1.07171403757564e-112,0.630174045198056,0.488,0.172,1.62675473763607e-108,"4","DPEP2",0.316
"DENND4B",1.17856789589877e-112,0.624930865869521,0.654,0.303,1.78894820918475e-108,"4","DENND4B",0.351
"DOCK5",1.32270630867108e-112,0.547124587764293,0.755,0.422,2.00773590593183e-108,"4","DOCK5",0.333
"LGALS1",1.74858351521956e-111,0.515658201456654,0.837,0.544,2.65417491775177e-107,"4","LGALS1",0.293
"PTAFR",1.94590452191111e-111,0.609088256666489,0.525,0.212,2.95368847380887e-107,"4","PTAFR",0.313
"CECR1",3.11151183319974e-110,0.515092175466065,0.859,0.543,4.72296381161388e-106,"4","CECR1",0.316
"KYNU",3.83370415347398e-110,0.514428920727625,0.915,0.848,5.81917953455815e-106,"4","KYNU",0.0670000000000001
"ARHGEF40",2.81970718652905e-109,0.540096502621969,0.373,0.105,4.28003353843245e-105,"4","ARHGEF40",0.268
"HLA-DMB",2.61312636569914e-108,0.616446479895014,0.679,0.325,3.96646451049473e-104,"4","HLA-DMB",0.354
"HSPA6",2.37331352273478e-106,0.542050777041725,0.539,0.212,3.60245259615912e-102,"4","HSPA6",0.327
"LFNG",3.08554352673774e-106,0.508418387297732,0.435,0.142,4.68354651923522e-102,"4","LFNG",0.293
"PYGL",4.59644523213336e-106,0.616503966442083,0.538,0.234,6.97694421785523e-102,"4","PYGL",0.304
"ARRB1",4.88807424981151e-106,0.622670527493626,0.544,0.234,7.41960790378889e-102,"4","ARRB1",0.31
"IMPDH1",2.0202226970997e-104,0.580691272206027,0.56,0.23,3.06649603192764e-100,"4","IMPDH1",0.33
"CAPNS1",2.98270391084168e-104,0.574472529382945,0.614,0.28,4.52744626626658e-100,"4","CAPNS1",0.334
"ADAMTSL4",1.93343188897844e-103,0.566037862807186,0.523,0.21,2.93475626428037e-99,"4","ADAMTSL4",0.313
"IRF5",1.44094308807909e-101,0.559466489662518,0.491,0.181,2.18720751339525e-97,"4","IRF5",0.31
"CSF2RA",6.3549143279931e-101,0.524831482119073,0.787,0.588,9.64612445846073e-97,"4","CSF2RA",0.199
"STXBP2",6.86252090632626e-101,0.509696824242245,0.825,0.555,1.04166204837126e-96,"4","STXBP2",0.27
"SCPEP1",1.18887910317189e-100,0.604965237572276,0.655,0.326,1.80459959070461e-96,"4","SCPEP1",0.329
"BST1",1.47257207129735e-99,0.640514474663795,0.487,0.202,2.23521714702225e-95,"4","BST1",0.285
"ATP11A",8.30799793637548e-99,0.529617312246915,0.595,0.257,1.26107100676243e-94,"4","ATP11A",0.338
"TIMP1",5.33060920629263e-98,0.523251325436227,0.803,0.464,8.09133171423158e-94,"4","TIMP1",0.339
"ASGR1",9.70411420140547e-98,0.697083062497612,0.512,0.237,1.47298749463134e-93,"4","ASGR1",0.275
"MSRB1",3.08358740337441e-96,0.600660429050889,0.399,0.132,4.68057731958201e-92,"4","MSRB1",0.267
"ALDH3B1",3.2090338077239e-96,0.503492166855734,0.524,0.235,4.87099241674411e-92,"4","ALDH3B1",0.289
"NOTCH2NL",1.37758421579202e-94,0.524666097449589,0.821,0.569,2.0910350811507e-90,"4","NOTCH2NL",0.252
"KIAA0930",2.35361611305604e-93,0.558368236615066,0.633,0.352,3.57255389800777e-89,"4","KIAA0930",0.281
"JAK2",2.59470482814634e-93,0.539821613845527,0.598,0.277,3.93850245864334e-89,"4","JAK2",0.321
"CHN2",4.02635914482643e-93,0.59505938051893,0.539,0.238,6.11161054593204e-89,"4","CHN2",0.301
"LINC00937",6.34644375225683e-91,0.639804198860615,0.592,0.293,9.63326697155065e-87,"4","LINC00937",0.299
"ANKRD13D",1.43003492965531e-90,0.619264432421198,0.68,0.409,2.1706500197238e-86,"4","ANKRD13D",0.271
"BACH1",3.44986915390403e-90,0.543703254785395,0.78,0.487,5.23655638871093e-86,"4","BACH1",0.293
"WAS",9.25132800718387e-89,0.507151188528169,0.65,0.352,1.40425907821044e-84,"4","WAS",0.298
"AGTRAP",2.18481047180502e-88,0.579869003282376,0.643,0.327,3.31632381515284e-84,"4","AGTRAP",0.316
"LPCAT2",3.76599195117809e-88,0.560442239521099,0.43,0.165,5.71639918269322e-84,"4","LPCAT2",0.265
"PTPN18",9.81625040042147e-87,0.510836477780437,0.707,0.394,1.49000864827997e-82,"4","PTPN18",0.313
"C11ORF21",8.07616231541293e-86,0.51901702485626,0.495,0.199,1.22588067785653e-81,"4","C11ORF21",0.296
"BCL6",5.79998706428981e-84,0.545526105929554,0.629,0.321,8.8038003648855e-80,"4","BCL6",0.308
"LINC01002",1.2574632620489e-83,0.522060081210147,0.41,0.149,1.90870348546402e-79,"4","LINC01002",0.261
"CTSH",1.78795963809836e-81,0.539453659985091,0.629,0.312,2.71394393466951e-77,"4","CTSH",0.317
"AMPD2",2.1882182913999e-81,0.548953400634463,0.549,0.254,3.32149654451591e-77,"4","AMPD2",0.295
"TFEB",2.21450315328723e-81,0.520107375602663,0.479,0.206,3.36139433637468e-77,"4","TFEB",0.273
"SLC43A2",3.46136644964276e-81,0.517900596439834,0.707,0.466,5.25400813391274e-77,"4","SLC43A2",0.241
"SAP25",2.49685618223574e-80,0.50359218222744,0.254,0.065,3.78997799901563e-76,"4","SAP25",0.189
"EVI5",4.76885928357232e-80,0.529478202678001,0.629,0.353,7.23865150653443e-76,"4","EVI5",0.276
"MYO9B",2.44181951034225e-77,0.511682908615096,0.687,0.399,3.7064378347485e-73,"4","MYO9B",0.288
"SVIL",2.49172109595616e-73,0.519114913338332,0.456,0.193,3.78218345155185e-69,"4","SVIL",0.263
"CIITA",1.9705457740688e-72,0.52531661571495,0.748,0.566,2.99109143045902e-68,"4","CIITA",0.182
"BLVRA",1.17894168742151e-70,0.531193034413471,0.516,0.242,1.78951558733711e-66,"4","BLVRA",0.274
"ARHGAP26",2.35588292407263e-70,0.523914195498978,0.695,0.446,3.57599469044984e-66,"4","ARHGAP26",0.249
"NCF1B",4.63326167032706e-69,0.598067741126154,0.424,0.19,7.03282788938945e-65,"4","NCF1B",0.234
"SLC25A37",7.21243985926532e-69,0.508354211138795,0.744,0.55,1.09477624623788e-64,"4","SLC25A37",0.194
"C4ORF48",9.67582948827457e-68,0.507556013398788,0.513,0.264,1.4686941580252e-63,"4","C4ORF48",0.249
"BLVRB",6.53184406326545e-67,0.535392764595072,0.525,0.262,9.91468610363063e-63,"4","BLVRB",0.263
"C20ORF27",1.79749640774819e-66,0.542161715773113,0.458,0.213,2.72841979732098e-62,"4","C20ORF27",0.245
"MTSS1",2.37709243019517e-66,0.515940120448981,0.531,0.27,3.60818859979325e-62,"4","MTSS1",0.261
"PADI4",8.96488923105568e-66,0.534657136246097,0.267,0.085,1.36078053638194e-61,"4","PADI4",0.182
"PLXND1",9.46747201508641e-65,0.511309192290625,0.332,0.122,1.43706757716997e-60,"4","PLXND1",0.21
"CARS2",1.08605474471567e-59,0.508172575070208,0.576,0.346,1.64852249700391e-55,"4","CARS2",0.23
"PNPLA6",1.99864287819075e-55,0.503651733402957,0.509,0.275,3.03374002480573e-51,"4","PNPLA6",0.234
"CCDC88B",5.91031585571108e-54,0.507866348450279,0.673,0.494,8.97126843738385e-50,"4","CCDC88B",0.179
"CLEC4E",9.29580943361388e-52,0.556378019961547,0.408,0.208,1.41101091392825e-47,"4","CLEC4E",0.2
"CCR8",0,1.4477421161792,0.904,0.092,0,"5","CCR8",0.812
"FOXP3",0,1.27055115675849,0.939,0.085,0,"5","FOXP3",0.854
"TNFRSF4",0,1.23933612741463,0.94,0.214,0,"5","TNFRSF4",0.726
"IL2RA",0,1.17132245581489,0.951,0.311,0,"5","IL2RA",0.64
"CTLA4",0,1.16719226685208,0.955,0.236,0,"5","CTLA4",0.719
"IL1R2",0,1.12175920632177,0.691,0.079,0,"5","IL1R2",0.612
"TNFRSF18",0,1.08860195117639,0.94,0.277,0,"5","TNFRSF18",0.663
"LAYN",0,1.00584149190191,0.785,0.18,0,"5","LAYN",0.605
"TBC1D4",0,0.9966620497804,0.933,0.304,0,"5","TBC1D4",0.629
"BATF",0,0.949347515670733,0.982,0.383,0,"5","BATF",0.599
"LAIR2",0,0.909555203935526,0.631,0.116,0,"5","LAIR2",0.515
"IKZF2",0,0.904791060044863,0.816,0.192,0,"5","IKZF2",0.624
"F5",0,0.760303441632742,0.679,0.119,0,"5","F5",0.56
"CD177",0,0.694853102533547,0.399,0.037,0,"5","CD177",0.362
"ZBTB32",5.52019898745818e-285,0.829224406948511,0.591,0.115,8.37911004306277e-281,"5","ZBTB32",0.476
"ICOS1",1.46368160450329e-283,0.855425959553493,0.996,0.477,2.22172230747554e-279,"5","ICOS",0.519
"DUSP41",3.51583683284006e-283,0.839610763338602,0.969,0.424,5.33668872856793e-279,"5","DUSP4",0.545
"STAM",5.62101825853833e-271,0.809970502516609,0.872,0.301,8.53214361463532e-267,"5","STAM",0.571
"IL1R1",4.05567954058753e-254,0.703561812972695,0.539,0.108,6.15611597465781e-250,"5","IL1R1",0.431
"IL12RB2",3.48814970669269e-251,0.79606081433295,0.728,0.215,5.29466243978884e-247,"5","IL12RB2",0.513
"DUSP16",3.05705454641899e-248,0.826679733393699,0.844,0.298,4.64030309600938e-244,"5","DUSP16",0.546
"TNFRSF9",1.72564264109975e-238,0.860886367851184,0.926,0.563,2.61935296492532e-234,"5","TNFRSF9",0.363
"CD28",1.07776375312194e-236,0.749385813644872,0.925,0.389,1.63593760086379e-232,"5","CD28",0.536
"CXCR61",5.26305894210602e-235,0.816355296050842,0.939,0.421,7.98879716822272e-231,"5","CXCR6",0.518
"TIGIT",4.80036069633461e-228,0.758452260958697,0.98,0.5,7.2864675009663e-224,"5","TIGIT",0.48
"CD274",2.26544920674689e-222,0.670707222746654,0.543,0.119,3.43872535092111e-218,"5","CD274",0.424
"VDR",6.11089778601863e-216,0.724411732832384,0.714,0.244,9.27573174939767e-212,"5","VDR",0.47
"GK",1.05946829733074e-210,0.767790203368953,0.863,0.367,1.60816692851832e-206,"5","GK",0.496
"PHLDA1",2.59828729053302e-209,0.687437405571617,0.933,0.472,3.94394027830008e-205,"5","PHLDA1",0.461
"EBI3",4.31102179459576e-208,0.5888608334853,0.338,0.046,6.54369998201691e-204,"5","EBI3",0.292
"CD41",2.69503491050649e-202,0.637127193456474,0.999,0.492,4.0907934906578e-198,"5","CD4",0.507
"GADD45A",9.2257564179694e-202,0.703926563150268,0.669,0.196,1.40037756668357e-197,"5","GADD45A",0.473
"SLAMF1",1.16247043576109e-201,0.739548773501628,0.821,0.309,1.76451387444176e-197,"5","SLAMF1",0.512
"SPOCK2",4.38072512985397e-199,0.653361638650119,0.978,0.499,6.64950267460534e-195,"5","SPOCK2",0.479
"SNX9",2.54563981386743e-193,0.61797156904089,0.837,0.336,3.86402667346937e-189,"5","SNX9",0.501
"CRADD",1.71169549074922e-189,0.737081616478043,0.585,0.16,2.59818258540824e-185,"5","CRADD",0.425
"LTA",1.59966564650678e-188,0.609961442156373,0.413,0.078,2.42813248483264e-184,"5","LTA",0.335
"ZC3H12D",4.02548910466505e-188,0.669784858469452,0.899,0.485,6.11028991197109e-184,"5","ZC3H12D",0.414
"PMAIP1",3.01032003329477e-186,0.698216252118411,0.912,0.475,4.56936477853814e-182,"5","PMAIP1",0.437
"DNPH1",1.64066228681772e-185,0.654616161531824,0.838,0.336,2.49036128516062e-181,"5","DNPH1",0.502
"FANK1",2.67856935413886e-176,0.696835581361983,0.436,0.098,4.06580042264738e-172,"5","FANK1",0.338
"TOX2",1.73876272753925e-175,0.550258028646379,0.458,0.1,2.63926794413183e-171,"5","TOX2",0.358
"MAF",1.47066614624254e-171,0.558670422961711,0.827,0.347,2.23232414338155e-167,"5","MAF",0.48
"LTB1",5.05422741423055e-171,0.641538608869733,0.951,0.502,7.67181179206055e-167,"5","LTB",0.449
"PBX4",1.88347534649346e-170,0.642436389993393,0.659,0.21,2.85892722844243e-166,"5","PBX4",0.449
"TNFRSF1B",1.1200915946192e-163,0.502083193888511,0.989,0.744,1.70018703147248e-159,"5","TNFRSF1B",0.245
"LY75",1.7076261834728e-163,0.650662461740554,0.737,0.302,2.59200578389336e-159,"5","LY75",0.435
"LAPTM4B",3.5306124185542e-163,0.668325222027817,0.554,0.175,5.35911659012341e-159,"5","LAPTM4B",0.379
"PTTG1",2.07597451679855e-161,0.659736417593284,0.711,0.249,3.15112171904851e-157,"5","PTTG1",0.462
"MAGEH1",4.37320634650714e-161,0.708085624416287,0.669,0.24,6.63808991336318e-157,"5","MAGEH1",0.429
"SIRPG1",4.95664547128925e-161,0.647980754532062,0.825,0.35,7.52369216086996e-157,"5","SIRPG",0.475
"SDC4",4.38667149579265e-158,0.621644998660995,0.777,0.349,6.65852866346366e-154,"5","SDC4",0.428
"CD80",8.43875286170279e-158,0.509080554611875,0.33,0.057,1.28091829687787e-153,"5","CD80",0.273
"RHBDD2",2.83015552406497e-157,0.595964287862068,0.936,0.536,4.29589306997822e-153,"5","RHBDD2",0.4
"CARD16",4.69487689499101e-153,0.558641804854633,0.915,0.486,7.12635363890685e-149,"5","CARD16",0.429
"HS3ST3B1",7.15965551878065e-153,0.668116764561755,0.705,0.301,1.08676411119571e-148,"5","HS3ST3B1",0.404
"CCR6",1.00357401697924e-152,0.664274885462367,0.728,0.298,1.52332500037279e-148,"5","CCR6",0.43
"RTKN2",3.93145224211564e-150,0.597048001223858,0.782,0.375,5.96755135830733e-146,"5","RTKN2",0.407
"HTATIP2",1.52679320655699e-149,0.653056155052425,0.739,0.307,2.31751940823285e-145,"5","HTATIP2",0.432
"IL21R",5.52445676717685e-148,0.610750732616253,0.865,0.49,8.38557292689774e-144,"5","IL21R",0.375
"HNRNPLL",2.26237802586279e-147,0.581907351973564,0.883,0.434,3.43406360545712e-143,"5","HNRNPLL",0.449
"IKZF4",3.44741168562075e-142,0.532657723950615,0.476,0.136,5.23282619760373e-138,"5","IKZF4",0.34
"TRAF1",4.37269844810647e-142,0.568519400213703,0.853,0.445,6.63731897438081e-138,"5","TRAF1",0.408
"TRAF3",1.41323629390993e-141,0.588648319323414,0.723,0.302,2.14515137052588e-137,"5","TRAF3",0.421
"MIR4435-2HG",2.25040702914573e-141,0.558775464666372,0.873,0.461,3.41589282954031e-137,"5","MIR4435-2HG",0.412
"SH2D2A1",4.79148616903535e-140,0.555206102437645,0.902,0.457,7.27299685597876e-136,"5","SH2D2A",0.445
"CD271",3.43412879680799e-136,0.602985595158897,0.915,0.493,5.21266410067485e-132,"5","CD27",0.422
"PBXIP1",1.62585191753855e-133,0.506612137634293,0.969,0.611,2.46788062563176e-129,"5","PBXIP1",0.358
"MAST4",1.52785379198359e-132,0.625400243552002,0.77,0.405,2.31912927085189e-128,"5","MAST4",0.365
"GCNT1",6.26984654456075e-132,0.526644197503143,0.591,0.218,9.51700006998876e-128,"5","GCNT1",0.373
"PTP4A3",1.02909364442346e-131,0.587812876472485,0.472,0.137,1.56206124287037e-127,"5","PTP4A3",0.335
"IL18R1",1.252744903229e-130,0.561573633162572,0.651,0.245,1.90154148861129e-126,"5","IL18R1",0.406
"TSPAN5",1.34944989255788e-130,0.59890146512798,0.707,0.311,2.0483299919136e-126,"5","TSPAN5",0.396
"PHTF2",2.14114096067866e-130,0.569463609335443,0.851,0.457,3.25003786421414e-126,"5","PHTF2",0.394
"FAS",2.22088874684235e-130,0.557617596675437,0.846,0.422,3.371087028832e-126,"5","FAS",0.424
"GATA3",9.06262321251091e-129,0.567182760464553,0.791,0.377,1.37561557742703e-124,"5","GATA3",0.414
"DUSP10",4.02633763978383e-127,0.565190876803116,0.842,0.438,6.11157790342788e-123,"5","DUSP10",0.404
"MAP1LC3A",8.45184887649085e-127,0.550180098753247,0.432,0.116,1.28290614096255e-122,"5","MAP1LC3A",0.316
"TMEM173",3.84952957642416e-126,0.547313209733485,0.912,0.517,5.84320094405423e-122,"5","TMEM173",0.395
"HAPLN31",1.67995668922402e-121,0.573432085091307,0.637,0.248,2.55000625857315e-117,"5","HAPLN3",0.389
"NAB1",2.16467333811406e-120,0.587694094402384,0.677,0.285,3.28575765992333e-116,"5","NAB1",0.392
"ZC2HC1A",8.0246053128832e-120,0.587056494405377,0.455,0.138,1.21805484044254e-115,"5","ZC2HC1A",0.317
"CD79B",2.41263999954149e-118,0.595475831201393,0.615,0.234,3.66214625530402e-114,"5","CD79B",0.381
"BTG3",8.7578093364631e-118,0.559116368982894,0.802,0.416,1.32934787918173e-113,"5","BTG3",0.386
"GALM",1.28484565797582e-117,0.531265198964398,0.824,0.433,1.9502672242415e-113,"5","GALM",0.391
"ACP5",3.2193924488521e-117,0.582088355618717,0.736,0.352,4.8867157981126e-113,"5","ACP5",0.384
"SLC16A1",4.10346753548832e-117,0.534578496530778,0.693,0.304,6.22865337211771e-113,"5","SLC16A1",0.389
"CORO1B",1.01122154796995e-116,0.531688637297623,0.796,0.436,1.53493318766359e-112,"5","CORO1B",0.36
"FBLN7",1.06056977141229e-115,0.572420231895105,0.483,0.162,1.60983885602672e-111,"5","FBLN7",0.321
"PHACTR2",5.98104372594323e-115,0.517010401379776,0.799,0.428,9.07862627160924e-111,"5","PHACTR2",0.371
"SLC35F2",2.78062273625274e-114,0.555047235223049,0.584,0.233,4.22070725135804e-110,"5","SLC35F2",0.351
"PELI1",2.55011745932375e-113,0.502762461683619,0.88,0.501,3.87082329150752e-109,"5","PELI1",0.379
"P2RY101",8.73650389878536e-113,0.518027992500909,0.891,0.48,1.32611392679663e-108,"5","P2RY10",0.411
"ZC3H7A",8.08402823711932e-110,0.506531020625718,0.823,0.433,1.22707464611234e-105,"5","ZC3H7A",0.39
"FRMD4B",1.36774860573727e-107,0.508142194777688,0.779,0.424,2.0761056086486e-103,"5","FRMD4B",0.355
"UXS1",3.81064046544371e-104,0.525268557334933,0.67,0.299,5.78417116249701e-100,"5","UXS1",0.371
"LINC01619",5.25326678286571e-99,0.514650600011598,0.359,0.099,7.97393364971186e-95,"5","LINC01619",0.26
"TNFRSF251",8.30844350797513e-99,0.514253906927405,0.77,0.404,1.26113864007554e-94,"5","TNFRSF25",0.366
"ADAT2",8.61433398507936e-88,0.516944849623301,0.631,0.329,1.3075697555952e-83,"5","ADAT2",0.302
"IL1B",0,1.45078278940116,0.94,0.156,0,"6","IL1B",0.784
"CXCL8",0,1.36584393361143,0.91,0.179,0,"6","CXCL8",0.731
"G0S2",0,1.3042653379534,0.784,0.101,0,"6","G0S2",0.683
"CXCL21",0,1.27248914390546,0.819,0.138,0,"6","CXCL2",0.681
"C15ORF481",0,1.23070823709524,0.78,0.078,0,"6","C15ORF48",0.702
"AIF11",0,1.22177339923989,0.951,0.156,0,"6","AIF1",0.795
"C1QB",0,1.18640200295617,0.651,0.057,0,"6","C1QB",0.594
"C1QC",0,1.18608960416894,0.631,0.051,0,"6","C1QC",0.58
"IL1RN",0,1.18288403342586,0.751,0.114,0,"6","IL1RN",0.637
"CD141",0,1.16979867306115,0.841,0.121,0,"6","CD14",0.72
"C1QA",0,1.16835369729995,0.669,0.058,0,"6","C1QA",0.611
"FCGR2A1",0,1.1601408380259,0.918,0.184,0,"6","FCGR2A",0.734
"MS4A71",0,1.13085806663569,0.87,0.229,0,"6","MS4A7",0.641
"IER31",0,1.12856940362134,0.885,0.204,0,"6","IER3",0.681
"PLAUR1",0,1.12486016493245,0.975,0.377,0,"6","PLAUR",0.598
"OLR1",0,1.12029604273201,0.756,0.171,0,"6","OLR1",0.585
"LYZ1",0,1.09724635004865,0.994,0.358,0,"6","LYZ",0.636
"CD681",0,1.05730827031635,0.894,0.246,0,"6","CD68",0.648
"IFI301",0,1.05081420759534,0.996,0.428,0,"6","IFI30",0.568
