"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"MYO5C",5.69869799620097e-92,0.559151131364613,0.333,0.111,8.65005368843345e-88,"3","MYO5C",0.222
"CXCL2",1.98069373546978e-91,0.573969196860934,0.419,0.16,3.00649502106957e-87,"3","CXCL2",0.259
"TJP1",8.33068884967721e-90,0.624615537487802,0.456,0.205,1.2645152604925e-85,"3","TJP1",0.251
"NEK3",2.68171122273076e-88,0.507591574203993,0.252,0.065,4.07056946498303e-84,"3","NEK3",0.187
"FHL2",8.11370649353216e-88,0.712572469997165,0.43,0.197,1.23157950865325e-83,"3","FHL2",0.233
"GOLM1",1.24862158304038e-87,0.514707995976897,0.324,0.105,1.895282700897e-83,"3","GOLM1",0.219
"SLC40A1",1.58082940584426e-87,0.615305809297347,0.371,0.138,2.39954095513101e-83,"3","SLC40A1",0.233
"ABCC3",3.35558176468972e-87,0.718848654701841,0.569,0.332,5.09343756062253e-83,"3","ABCC3",0.237
"IGF2BP2",2.43255065135239e-86,0.605843055695609,0.337,0.123,3.69236863368779e-82,"3","IGF2BP2",0.214
"SPTBN1",8.46131520629114e-86,0.633952941653023,0.685,0.453,1.28434303516293e-81,"3","SPTBN1",0.232
"CCSER1",2.02853382309331e-84,0.576310572004256,0.325,0.11,3.07911149007333e-80,"3","CCSER1",0.215
"TMEM141",4.69418264738259e-82,0.71820887550698,0.45,0.199,7.12529984046203e-78,"3","TMEM141",0.251
"CD151",8.03067669171213e-82,0.611837569171941,0.617,0.389,1.21897641503498e-77,"3","CD151",0.228
"CXADR",4.11882699171673e-81,0.597078998459825,0.374,0.158,6.25196749072683e-77,"3","CXADR",0.216
"FAM83E",1.08451569732727e-79,0.588766403551772,0.257,0.078,1.64618637697306e-75,"3","FAM83E",0.179
"GAS6",8.43910102811098e-79,0.520198869347628,0.316,0.104,1.28097114505697e-74,"3","GAS6",0.212
"DGAT1",1.07767729908269e-78,0.550451916100361,0.309,0.103,1.63580637227762e-74,"3","DGAT1",0.206
"SLC17A7",1.60025601702171e-78,0.556415055521958,0.439,0.212,2.42902860823725e-74,"3","SLC17A7",0.227
"GMDS",1.3042757943289e-77,0.603688454741953,0.533,0.271,1.97976022821184e-73,"3","GMDS",0.262
"CEACAM1",5.50747104308827e-77,0.761377319916459,0.476,0.253,8.35979029630369e-73,"3","CEACAM1",0.223
"LEKR1",1.7518858187872e-76,0.622748633939124,0.275,0.089,2.65918748433709e-72,"3","LEKR1",0.186
"INF2",2.48072724671395e-76,0.694722214318566,0.497,0.269,3.7654958877871e-72,"3","INF2",0.228
"CD2AP",5.80405040258535e-76,0.562895212854768,0.512,0.266,8.8099681060843e-72,"3","CD2AP",0.246
"HIST1H2BG",1.8756910841283e-75,0.615004828310955,0.328,0.122,2.84711149659835e-71,"3","HIST1H2BG",0.206
"TNFRSF10D",8.96465480513233e-75,0.528268102460971,0.318,0.116,1.36074495287104e-70,"3","TNFRSF10D",0.202
"PPP1R16A",1.23789161511996e-74,0.654275712553978,0.374,0.158,1.87899568259059e-70,"3","PPP1R16A",0.216
"C1ORF106",1.48694882860359e-74,0.588394744964382,0.43,0.203,2.25703962693739e-70,"3","C1ORF106",0.227
"HOOK2",7.73930833358807e-74,0.680190130166578,0.533,0.315,1.17474961195533e-69,"3","HOOK2",0.218
"LIPH",1.1186713820363e-73,0.583016837612625,0.361,0.16,1.6980312907929e-69,"3","LIPH",0.201
"PPDPF",1.31876554388948e-73,0.632536182932554,0.493,0.277,2.00175421906985e-69,"3","PPDPF",0.216
"ARHGEF38",3.30803602097814e-73,0.529878136815342,0.378,0.152,5.02126787624272e-69,"3","ARHGEF38",0.226
"KLF4",7.94101877268989e-73,0.509454421348799,0.419,0.178,1.2053672395066e-68,"3","KLF4",0.241
"AKR1C3",1.2127902589217e-72,0.605638181116263,0.255,0.079,1.84089433401725e-68,"3","AKR1C3",0.176
"NOSTRIN",1.75841834212866e-72,0.631344426485858,0.312,0.119,2.6691032015171e-68,"3","NOSTRIN",0.193
"JUN",4.64230725807169e-72,0.514248013052653,0.843,0.743,7.04655818702702e-68,"3","JUN",0.1
"ASPH",1.31738197124459e-71,0.627725936198756,0.486,0.264,1.99965409415216e-67,"3","ASPH",0.222
